"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,97,152,91,65
2,61,142,148,50
3,132,27,86,32
4,63,30,125,119
5,93,97,111,29
6,102,1,96,140
7,56,105,195,140
8,134,46,168,82
9,104,47,147,98
10,120,85,51,0
11,47,88,125,53
12,39,111,147,29
13,109,154,186,112
14,54,62,107,53
15,55,130,82,49
16,182,56,73,88
17,102,144,66,37
18,117,62,106,54
19,90,165,68,145
20,59,40,63,132
21,106,107,144,179
22,66,70,133,50
23,45,90,75,69
24,108,60,126,45
25,51,137,68,73
26,105,46,111,56
27,103,28,111,126
28,112,49,125,51
29,65,79,113,137
30,71,160,99,72
