"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,128,125,143,71
2,94,134,75,147
3,132,101,199,166
4,85,91,134,150
5,180,163,119,157
6,133,192,50,61
7,172,118,172,102
8,101,149,194,137
9,177,142,91,174
10,109,198,97,90
11,73,141,170,152
12,176,134,168,97
13,118,143,139,116
14,142,61,93,180
15,138,90,140,106
16,131,53,164,115
17,75,178,60,174
18,109,176,111,73
19,159,75,138,139
20,104,115,84,65
21,120,51,194,157
22,109,160,194,142
23,82,191,171,180
24,87,140,112,166
25,111,186,65,120
26,198,64,160,107
27,89,151,176,87
28,95,178,175,140
29,171,86,128,194
30,60,170,166,193
