"μΰγΰηθν 005 & ΞΑΪΕΜ_ΟΠΞΔΐΖ";"υλεα_χ";"υλεα_χ_ν";"υλεα_α";"υλεα_α_ν";"ΘÒΞΓ";"ΡΠΕΔΝΕΕ";"ΜΕΔΘΐΝΐ"
"δενό 1";97;152;91;65;405;101;94
"δενό 2";61;142;148;50;401;100;102
"δενό 3";132;27;86;32;277;69;59
"δενό 4";63;30;125;119;337;84;91
"δενό 5";93;97;111;29;330;82;95
"δενό 6";102;1;96;140;339;85;99
"δενό 7";56;105;195;140;496;124;122
"δενό 8";134;46;168;82;430;108;108
"δενό 9";104;47;147;98;396;99;101
"δενό 10";120;85;51;0;256;64;68
"δενό 11";47;88;125;53;313;78;70
"δενό 12";39;111;147;29;326;82;75
"δενό 13";109;154;186;112;561;140;133
"δενό 14";54;62;107;53;276;69;58
"δενό 15";55;130;82;49;316;79;68
"δενό 16";182;56;73;88;399;100;80
"δενό 17";102;144;66;37;349;87;84
"δενό 18";117;62;106;54;339;85;84
"δενό 19";90;165;68;145;468;117;118
"δενό 20";59;40;63;132;294;74;61
"δενό 21";106;107;144;179;536;134;126
"δενό 22";66;70;133;50;319;80;68
"δενό 23";45;90;75;69;279;70;72
"δενό 24";108;60;126;45;339;85;84
"δενό 25";51;137;68;73;329;82;70
"δενό 26";105;46;111;56;318;80;80
"δενό 27";103;28;111;126;368;92;107
"δενό 28";112;49;125;51;337;84;82
"δενό 29";65;79;113;137;394;98;96
"δενό 30";71;160;99;72;402;100;86
"ΘÒΞΓ";2648;2570;3346;2365;10929;NA;NA
"ΡΠΕΔΝΕΕ";88;86;112;79;NA;NA;NA
"ΜΕΔΘΐΝΐ";95;82;111;67;NA;NA;NA
