"μΰγΰηθν 006 & ΡΟΘΡΐΝΘΕ";"υλεα_χ";"υλεα_χ_ν";"υλεα_α";"υλεα_α_ν";"ΘÒΞΓ";"ΡΠΕΔΝΕΕ";"ΜΕΔΘΐΝΐ"
"δενό 1";1;74;11;1;87;22;6
"δενό 2";94;97;29;1;221;55;62
"δενό 3";45;1;88;1;135;34;23
"δενό 4";31;76;91;1;199;50;54
"δενό 5";20;147;8;1;176;44;14
"δενό 6";70;14;21;1;106;26;18
"δενό 7";14;29;134;1;178;44;22
"δενό 8";1;53;84;1;139;35;27
"δενό 9";19;7;90;1;117;29;13
"δενό 10";47;1;64;1;113;28;24
"δενό 11";1;68;7;1;77;19;4
"δενό 12";97;52;7;97;253;63;74
"δενό 13";40;106;110;116;372;93;108
"δενό 14";59;4;33;1;97;24;18
"δενό 15";3;1;1;1;6;2;1
"δενό 16";73;38;68;1;180;45;53
"δενό 17";1;155;27;1;184;46;14
"δενό 18";4;45;36;1;86;22;20
"δενό 19";17;30;14;1;62;16;16
"δενό 20";28;11;45;1;85;21;20
"δενό 21";53;26;82;1;162;40;40
"δενό 22";50;91;123;1;265;66;70
"δενό 23";4;46;19;0;69;17;12
"δενό 24";5;18;1;1;25;6;3
"δενό 25";59;24;1;1;85;21;12
"δενό 26";125;30;1;1;157;39;16
"δενό 27";36;52;60;1;149;37;44
"δενό 28";1;5;75;1;82;20;3
"δενό 29";63;2;92;1;158;40;32
"δενό 30";1;122;8;1;132;33;4
"ΘÒΞΓ";1062;1425;1430;240;4157;NA;NA
"ΡΠΕΔΝΕΕ";35;48;48;8;NA;NA;NA
"ΜΕΔΘΐΝΐ";30;34;34;1;NA;NA;NA
