"магазин 007 & –≈Ќ“јЅ≈Ћ№Ќќ—“№";"хлеб_ч";"хлеб_ч_н";"хлеб_б";"хлеб_б_н";"—–≈ƒЌ≈≈";"ћ≈ƒ»јЌј"
"день 1";27,2;66,7;60,5;51,4;51;56
"день 2";57,1;67;66,9;-148,7;11;62
"день 3";67;66,8;66,4;15,2;54;67
"день 4";25,3;66,7;67;66,4;56;67
"день 5";42,4;67;66,4;66,3;61;66
"день 6";53,7;66,5;66,8;-21,8;41;60
"день 7";66,9;66,8;44,1;66,5;61;67
"день 8";32,5;66,9;38,6;41,1;45;40
"день 9";48,9;66,9;66,5;40,5;56;58
"день 10";-4,9;66,7;54,3;66,3;46;60
"день 11";58;67;66,9;9,6;50;62
"день 12";33,8;66,6;66,4;66,8;58;66
"день 13";59,4;66,9;66,5;55,4;62;63
"день 14";65,8;66,7;66,6;66,3;66;66
"день 15";29,5;66,7;-14;24,5;27;27
"день 16";63,9;66,6;66,8;34,1;58;65
"день 17";62,9;66,3;66,3;67;66;66
"день 18";66,4;67;63,3;27,6;56;65
"день 19";43,7;66,9;66,8;44,4;55;56
"день 20";66,7;66,3;66,7;-60;35;66
"день 21";66,5;67;66,9;58,7;65;67
"день 22";67;66,7;55,1;-14,2;44;61
"день 23";34,4;67;66,5;48,7;54;58
"день 24";-4769,1;-Inf;66,3;66,3;-Inf;-2351
"день 25";60,8;67;66,5;66,9;65;67
"день 26";54,5;67;66,8;18,9;52;61
"день 27";39,3;66,6;66,9;66,9;60;67
"день 28";50,8;66,9;41,2;42,6;50;47
"день 29";57,1;66,5;66,9;37;57;62
"день 30";66,3;66,7;66,5;40,9;60;66
"—–≈ƒЌ≈≈";-110;-Inf;60;34;NA;NA
"ћ≈ƒ»јЌј";56;67;66;44;NA;NA
