"μΰγΰηθν 007 & ΒΫΠΣΧΚΐ";"υλεα_χ";"υλεα_χ_ν";"υλεα_α";"υλεα_α_ν";"ΘÒΞΓ";"ΡΠΕΔΝΕΕ";"ΜΕΔΘΐΝΐ"
"δενό 1";5445;4895;5775;6545;22660;5665;5610
"δενό 2";8800;10010;7865;2035;28710;7178;8332
"δενό 3";8855;5885;3135;4675;22550;5638;5280
"δενό 4";5005;5280;10065;3190;23540;5885;5142
"δενό 5";2585;9295;3355;2970;18205;4551;3162
"δενό 6";4730;3410;5445;3080;16665;4166;4070
"δενό 7";8250;6160;4235;3465;22110;5528;5198
"δενό 8";4345;7315;5280;6105;23045;5761;5692
"δενό 9";2750;8085;3575;7205;21615;5404;5390
"δενό 10";3025;4620;5170;2915;15730;3932;3822
"δενό 11";8195;8855;6655;2915;26620;6655;7425
"δενό 12";3850;4070;3245;5775;16940;4235;3960
"δενό 13";8140;6930;3685;4235;22990;5748;5582
"δενό 14";7370;5060;3905;2805;19140;4785;4482
"δενό 15";4895;4840;4235;5885;19855;4964;4868
"δενό 16";8305;4125;5720;3465;21615;5404;4922
"δενό 17";9570;2860;2860;9570;24860;6215;6215
"δενό 18";3245;9570;8525;3245;24585;6146;5885
"δενό 19";5830;8030;5885;4895;24640;6160;5858
"δενό 20";5225;2860;5005;1870;14960;3740;3932
"δενό 21";3520;9680;7590;6875;27665;6916;7232
"δενό 22";9955;5225;5995;2475;23650;5912;5610
"δενό 23";2640;10285;3740;4675;21340;5335;4208
"δενό 24";55;0;2750;2805;5610;1402;1402
"δενό 25";2585;10670;3465;6655;23375;5844;5060
"δενό 26";4840;9350;6325;3300;23815;5954;5582
"δενό 27";3300;4235;7150;7535;22220;5555;5692
"δενό 28";3905;8305;4400;7150;23760;5940;5775
"δενό 29";6050;3795;7425;5280;22550;5638;5665
"δενό 30";2750;4785;3410;4455;15400;3850;3932
"ΘÒΞΓ";158015;188485;155870;138050;640420;NA;NA
"ΡΠΕΔΝΕΕ";5267;6283;5196;4602;NA;NA;NA
"ΜΕΔΘΐΝΐ";4868;5582;5088;4345;NA;NA;NA
