"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,68,100,172,162
2,74,81,84,87
3,125,183,85,129
4,106,184,98,104
5,93,163,169,95
6,138,125,117,129
7,125,105,114,66
8,76,135,68,84
9,197,147,198,150
10,163,66,191,104
11,79,53,169,120
12,140,152,128,191
13,60,189,197,123
14,119,63,101,103
15,82,180,181,160
16,113,141,171,132
17,105,52,96,159
18,91,146,60,176
19,165,79,147,123
20,186,158,167,198
21,138,69,161,128
22,159,197,133,174
23,196,71,124,79
24,142,78,78,186
25,150,55,166,69
26,112,67,82,182
27,103,196,197,138
28,103,180,80,185
29,61,64,108,129
30,189,95,147,126
