"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,67,99,41,142
2,73,80,54,86
3,124,182,81,100
4,105,169,63,103
5,92,162,84,94
6,137,124,24,128
7,1,104,109,65
8,75,92,24,81
9,196,146,76,149
10,162,65,175,103
11,78,52,164,76
12,139,151,111,121
13,59,188,49,91
14,118,62,54,102
15,81,90,170,80
16,112,140,40,131
17,104,51,83,102
18,91,145,35,113
19,137,78,146,63
20,149,126,122,197
21,137,68,105,121
22,158,150,80,173
23,195,70,123,78
24,141,77,62,185
25,144,54,139,65
26,111,66,81,65
27,102,124,131,74
28,102,179,42,175
29,60,63,81,84
30,188,94,43,125
