"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","QGDP","VOLIDX","IDX","Q","2009-Q1",87.3,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q2",87.2,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q3",87.5,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q4",88.4,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q1",88.9,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q2",89.7,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q3",90.4,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q4",90.9,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q1",90.7,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q2",91.3,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q3",91.3,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q4",92.3,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q1",93,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q2",93.5,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q3",93.6,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q4",93.7,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q1",94.5,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q2",94.7,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q3",95.4,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q4",96.1,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q1",95.8,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q2",97,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q3",98.1,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q4",98.6,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q1",99.4,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q2",99.9,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q3",100.3,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q4",100.4,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q1",101,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q2",101.3,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q3",101.9,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q4",102.4,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q1",102.9,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q2",103.5,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q3",104.2,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q4",105.2,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q1",106,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q2",106.9,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q3",107.4,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q4",107.7,
