"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,135,189,144,66
2,98,145,149,51
3,133,101,87,138
4,64,105,126,124
5,133,125,145,200
6,107,134,97,155
7,57,169,196,141
8,135,65,169,103
9,148,61,186,150
10,181,108,52,180
11,54,99,126,84
12,85,114,148,124
13,172,155,187,118
14,55,120,108,149
15,55,149,83,62
16,183,79,74,114
17,148,145,67,136
18,133,109,107,70
19,91,166,69,146
20,60,139,64,147
21,124,114,145,180
22,67,90,154,171
23,198,120,76,105
24,163,94,198,188
25,52,186,69,183
26,143,73,121,60
27,103,56,112,196
28,138,122,126,192
29,66,180,114,138
30,72,161,100,73
