"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,127,51,132,70
2,0,37,46,146
3,87,100,111,165
4,54,15,43,149
5,160,16,111,156
6,63,178,29,60
7,158,89,38,101
8,100,96,110,136
9,158,135,1,173
10,62,197,33,89
11,72,73,163,151
12,79,82,161,0
13,78,37,29,0
14,83,57,60,179
15,135,89,139,105
16,58,15,96,114
17,74,23,33,173
18,105,131,75,72
19,142,45,124,138
20,76,104,39,64
21,67,25,112,156
22,59,69,71,141
23,78,145,152,180
24,82,122,111,165
25,52,162,64,119
26,73,34,159,106
27,53,99,116,86
28,94,173,100,139
29,108,84,36,193
30,59,48,158,192
