"μΰγΰηθν 005 & ΡΟΘΡΐΝΘΕ";"υλεα_χ";"υλεα_χ_ν";"υλεα_α";"υλεα_α_ν";"ΘÒΞΓ";"ΡΠΕΔΝΕΕ";"ΜΕΔΘΐΝΐ"
"δενό 1";38;37;53;1;129;32;38
"δενό 2";37;3;1;1;42;10;2
"δενό 3";1;74;1;106;182;46;38
"δενό 4";1;75;1;5;82;20;3
"δενό 5";40;28;34;171;273;68;37
"δενό 6";5;133;1;15;154;38;10
"δενό 7";1;64;1;1;67;17;1
"δενό 8";1;19;1;21;42;10;10
"δενό 9";44;14;39;52;149;37;42
"δενό 10";61;23;1;180;265;66;42
"δενό 11";7;11;1;31;50;12;9
"δενό 12";46;3;1;95;145;36;24
"δενό 13";63;1;1;6;71;18;4
"δενό 14";1;58;1;96;156;39;30
"δενό 15";0;19;1;13;33;8;7
"δενό 16";1;23;1;26;51;13;12
"δενό 17";46;1;1;99;147;37;24
"δενό 18";16;47;1;16;80;20;16
"δενό 19";1;1;1;1;4;1;1
"δενό 20";1;99;1;15;116;29;8
"δενό 21";18;7;1;1;27;7;4
"δενό 22";1;20;21;121;163;41;20
"δενό 23";153;30;1;36;220;55;33
"δενό 24";55;34;72;143;304;76;64
"δενό 25";1;49;1;110;161;40;25
"δενό 26";38;27;10;4;79;20;18
"δενό 27";0;28;1;70;99;25;14
"δενό 28";26;73;1;141;241;60;50
"δενό 29";1;101;1;1;104;26;1
"δενό 30";1;1;1;1;4;1;1
"ΘÒΞΓ";705;1103;253;1579;3640;NA;NA
"ΡΠΕΔΝΕΕ";24;37;8;53;NA;NA;NA
"ΜΕΔΘΐΝΐ";6;28;1;24;NA;NA;NA
