"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,159,186,64,176
2,175,178,189,162
3,147,122,125,93
4,116,177,95,51
5,66,150,78,109
6,89,103,103,160
7,103,65,108,130
8,72,129,174,96
9,194,74,94,56
10,79,165,78,172
11,128,81,60,58
12,164,123,170,195
13,179,137,132,69
14,123,198,151,54
15,105,128,135,119
16,137,164,199,136
17,119,153,75,60
18,163,52,98,185
19,164,170,100,155
20,146,178,184,97
21,158,155,62,165
22,183,195,105,144
23,88,154,184,167
24,198,200,97,141
25,146,197,156,95
26,132,177,128,183
27,119,56,97,65
28,74,127,86,119
29,162,151,171,118
30,122,135,155,115
