"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,99,89,105,119
2,160,182,143,37
3,161,107,57,85
4,91,96,183,58
5,47,169,61,54
6,86,62,99,56
7,150,112,77,63
8,79,133,96,111
9,50,147,65,131
10,55,84,94,53
11,149,161,121,53
12,70,74,59,105
13,148,126,67,77
14,134,92,71,51
15,89,88,77,107
16,151,75,104,63
17,174,52,52,174
18,59,174,155,59
19,106,146,107,89
20,95,52,91,34
21,64,176,138,125
22,181,95,109,45
23,48,187,68,85
24,1,0,50,51
25,47,194,63,121
26,88,170,115,60
27,60,77,130,137
28,71,151,80,130
29,110,69,135,96
30,50,87,62,81
