"";"Выручка";"Прибыль";"Реализация";"Списание";"Равномерность продаж (sd)";"Продажи макс";"День";"Продажи мин";"День";"Списание макс";"День"
"Магазин 1";28360000;3989100;3545;826;128,115647161535;642;3;315;1;404;1
"Магазин 2";28456000;2703400;3557;1049;183,915223741292;831;6;304;5;404;7
"Магазин 3";21624000;2515400;2703;719;79,6250140165944;511;2;303;5;263;2
"Магазин 4";22424000;-5683400;2803;2151;95,3499818962702;574;3;301;4;530;4
"Магазин 5";21488000;-3073100;2686;1659;38,2348631736111;440;6;338;4;519;2
"Магазин 6";25840000;-4427100;3230;2119;104,782086800587;632;2;355;6;394;1
"Магазин 7";22568000;3842900;2821;544;78,1643567533608;508;4;310;7;199;3
"Магазин 8";22208000;-2157800;2776;1542;76,7481968145553;524;6;301;2;382;6
"Магазин 9";24144000;46100;3018;1271;136,393338756491;639;4;300;6;500;2
"Магазин 10";22992000;2329300;2874;823;93,5661212598826;568;6;325;4;252;6
"Итого";240104000;84800;30013;12703;1014,89483037418;NA;NA;NA;NA;NA;NA
"Среднее";24010400;8480;3001,3;1270,3;101,489483037418;NA;NA;NA;NA;NA;NA
