"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,117,60,128,97
2,122,96,79,114
3,1,108,50,138
4,114,139,90,87
5,104,56,89,153
6,132,55,88,89
7,169,193,146,142
8,133,124,54,64
9,132,169,126,95
10,127,168,85,148
11,179,148,56,72
12,168,100,87,130
13,191,136,89,145
14,80,182,118,110
15,67,66,79,187
16,188,127,89,81
17,77,147,93,187
18,91,108,94,130
19,170,98,52,97
20,63,114,119,71
21,180,99,88,99
22,160,130,52,74
23,129,99,166,138
24,150,178,68,77
25,83,65,68,181
26,103,90,1,58
27,0,94,79,100
28,66,99,59,91
29,154,191,105,91
30,74,93,62,135
