"μΰγΰηθν 007 & ΞΑΪΕΜ_ΟΠΞΔΐΖ";"υλεα_χ";"υλεα_χ_ν";"υλεα_α";"υλεα_α_ν";"ΘÒΞΓ";"ΡΠΕΔΝΕΕ";"ΜΕΔΘΐΝΐ"
"δενό 1";99;89;105;119;412;103;102
"δενό 2";160;182;143;37;522;130;152
"δενό 3";161;107;57;85;410;102;96
"δενό 4";91;96;183;58;428;107;94
"δενό 5";47;169;61;54;331;83;58
"δενό 6";86;62;99;56;303;76;74
"δενό 7";150;112;77;63;402;100;94
"δενό 8";79;133;96;111;419;105;104
"δενό 9";50;147;65;131;393;98;98
"δενό 10";55;84;94;53;286;72;70
"δενό 11";149;161;121;53;484;121;135
"δενό 12";70;74;59;105;308;77;72
"δενό 13";148;126;67;77;418;104;102
"δενό 14";134;92;71;51;348;87;82
"δενό 15";89;88;77;107;361;90;88
"δενό 16";151;75;104;63;393;98;90
"δενό 17";174;52;52;174;452;113;113
"δενό 18";59;174;155;59;447;112;107
"δενό 19";106;146;107;89;448;112;106
"δενό 20";95;52;91;34;272;68;72
"δενό 21";64;176;138;125;503;126;132
"δενό 22";181;95;109;45;430;108;102
"δενό 23";48;187;68;85;388;97;76
"δενό 24";1;0;50;51;102;26;26
"δενό 25";47;194;63;121;425;106;92
"δενό 26";88;170;115;60;433;108;102
"δενό 27";60;77;130;137;404;101;104
"δενό 28";71;151;80;130;432;108;105
"δενό 29";110;69;135;96;410;102;103
"δενό 30";50;87;62;81;280;70;72
"ΘÒΞΓ";2873;3427;2834;2510;11644;NA;NA
"ΡΠΕΔΝΕΕ";96;114;94;84;NA;NA;NA
"ΜΕΔΘΐΝΐ";88;102;92;79;NA;NA;NA
