"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,85,180,84,151
2,125,64,66,180
3,156,131,98,59
4,188,90,116,64
5,101,179,138,183
6,112,151,51,81
7,71,124,173,197
8,83,46,118,178
9,103,58,108,51
10,101,158,161,127
11,57,145,100,173
12,148,58,147,64
13,99,59,49,133
14,88,108,51,89
15,83,177,104,109
16,52,72,67,129
17,96,73,47,94
18,100,137,87,109
19,129,121,42,171
20,159,86,64,175
21,185,69,122,112
22,84,83,119,120
23,189,56,115,133
24,1,62,101,170
25,154,61,95,198
26,70,136,75,116
27,151,49,151,50
28,85,71,46,136
29,112,129,81,49
30,158,168,79,118
