"день","хлеб_ч","хлеб_ч_н","хлеб_б","хлеб_б_н"
1,159,105,86,173
2,109,92,89,78
3,136,79,151,91
4,191,93,135,181
5,74,146,110,154
6,165,175,177,100
7,154,189,170,78
8,124,96,159,166
9,83,84,97,152
10,120,52,85,80
11,94,133,196,132
12,68,113,152,184
13,105,148,118,114
14,123,55,129,86
15,107,86,184,107
16,57,113,74,173
17,124,61,52,190
18,136,53,139,74
19,161,90,200,181
20,148,166,189,172
21,143,180,187,84
22,83,58,143,120
23,68,143,138,92
24,174,66,141,197
25,103,159,78,147
26,126,150,83,105
27,169,106,109,78
28,73,197,61,50
29,165,128,97,58
30,111,72,167,126
